instr,TP,LT
jmp-lbl,0.0,-1.0
jo-lbl,0.0,-1.0
jno-lbl,0.0,-1.0
js-lbl,0.0,-1.0
jns-lbl,0.0,-1.0
je-lbl,0.0,-1.0
jz-lbl,0.0,-1.0
jne-lbl,0.0,-1.0
jnz-lbl,0.0,-1.0
jb-lbl,0.0,-1.0
jnae-lbl,0.0,-1.0
jc-lbl,0.0,-1.0
jnb-lbl,0.0,-1.0
jae-lbl,0.0,-1.0
jnc-lbl,0.0,-1.0
jbe-lbl,0.0,-1.0
jna-lbl,0.0,-1.0
ja-lbl,0.0,-1.0
jnbe-lbl,0.0,-1.0
jl-lbl,0.0,-1.0
jnge-lbl,0.0,-1.0
jge-lbl,0.0,-1.0
jnl-lbl,0.0,-1.0
jle-lbl,0.0,-1.0
jng-lbl,0.0,-1.0
jg-lbl,0.0,-1.0
jnle-lbl,0.0,-1.0
jp-lbl,0.0,-1.0
jpe-lbl,0.0,-1.0
jnp-lbl,0.0,-1.0
jpo-lbl,0.0,-1.0
jcxz-lbl,0.0,-1.0
jecxz-lbl,0.0,-1.0
jo-lbl,0.0,-1.0
jno-lbl,0.0,-1.0
js-lbl,0.0,-1.0
jns-lbl,0.0,-1.0
vmulss-xmm_xmm_xmm,1.0,-1.0
vaddss-xmm_xmm_xmm,1.0,-1.0
vxorps-xmm_xmm_xmm,0.25,-1.0
inc-r64,0.3333333333333333,-1.0
xor-r32_r32,0.3333333333333333,-1.0
vcvtsi2ss-xmm_xmm_r32,1.0,-1.0
vaddss-xmm_xmm_mem,1.0,-1.0
vmovupd-load-avx,1.0,-1.0
lea-r32_mem,1.0,-1.0
vmovss-xmm_mem,0.5,-1.0
vmovss-mem_xmm,1.0,-1.0
vmovupd-store-avx,2.0,-1.0
lea-r64_mem,1.0,-1.0
movslq-r64_mem,0.5,-1.0
mov-r64_mem,0.5,-1.0
vaddpd-ymm_ymm_ymm,1.0,-1.0
cmp-r32_r32,0.3333333333333333,-1.0
vmovsd-xmm_xmm_xmm,1.0,-1.0
vmulsd-xmm_xmm_mem,1.0,-1.0
vmovsd-mem_xmm,1.0,-1.0
vmovhpd-xmm_xmm_mem,1.0,-1.0
vsubpd-ymm_ymm_ymm,1.0,-1.0
vmovq-xmm_r64,1.0,-1.0
vunpckhpd-xmm_xmm_xmm,1.0,-1.0
vmulpd-ymm_ymm_mem,1.0,-1.0
mov-mem_r64,1.0,-1.0
movzbl-r32_r8,0.29600000000000004,-1.0
vmulsd-xmm_xmm_xmm,1.0,-1.0
vaddsd-xmm_xmm_mem,1.0,-1.0
vmovq-r64_xmm,1.0,-1.0
vmulpd-ymm_ymm_ymm,1.0,-1.0
mov-r32_mem,0.5,-1.0
cmp-r32_mem,0.5,-1.0
vaddpd-xmm_xmm_xmm,1.0,-1.0
mov-mem_r32,1.0,-1.0
vmovsd-xmm_mem,0.5,-1.0
vsubsd-xmm_xmm_xmm,1.0,-1.0
vmovaps-xmm_xmm,0.845,-1.0
vaddsd-xmm_xmm_xmm,1.0,-1.0
add-r32_mem,0.5,-1.0
vmovupd-xmm_mem,0.5,-1.0
test-r32_r32,0.3333333333333333,-1.0
add-r64_r64,0.3333333333333333,-1.0
dec-r32,0.3333333333333333,-1.0
movslq-r64_r32,0.3333333333333333,-1.0
vxorpd-ymm_ymm_ymm,0.25,-1.0
sub-r32_r32,0.3333333333333333,-1.0
inc-r32,0.3333333333333333,-1.0
neg-r32,0.3333333333333333,-1.0
cmp-r64_imd,0.3333333333333333,-1.0
vxorpd-xmm_xmm_xmm,0.25,-1.0
vmovapd-ymm_ymm,0.856,-1.0
vmovapd-xmm_xmm,0.855,-1.0
mov-r32_r32,0.3333333333333333,-1.0
