instr,clock_cycles
jmp-lbl-TP,0.0
jo-lbl-TP,0.0
jno-lbl-TP,0.0
js-lbl-TP,0.0
jns-lbl-TP,0.0
je-lbl-TP,0.0
jz-lbl-TP,0.0
jne-lbl-TP,0.0
jnz-lbl-TP,0.0
jb-lbl-TP,0.0
jnae-lbl-TP,0.0
jc-lbl-TP,0.0
jnb-lbl-TP,0.0
jae-lbl-TP,0.0
jnc-lbl-TP,0.0
jbe-lbl-TP,0.0
jna-lbl-TP,0.0
ja-lbl-TP,0.0
jnbe-lbl-TP,0.0
jl-lbl-TP,0.0
jnge-lbl-TP,0.0
jge-lbl-TP,0.0
jnl-lbl-TP,0.0
jle-lbl-TP,0.0
jng-lbl-TP,0.0
jg-lbl-TP,0.0
jnle-lbl-TP,0.0
jp-lbl-TP,0.0
jpe-lbl-TP,0.0
jnp-lbl-TP,0.0
jpo-lbl-TP,0.0
jcxz-lbl-TP,0.0
jecxz-lbl-TP,0.0
jo-lbl-TP,0.0
jno-lbl-TP,0.0
js-lbl-TP,0.0
jns-lbl-TP,0.0
vmulss-xmm_xmm_xmm-TP,1.0
vaddss-xmm_xmm_xmm-TP,1.0
vxorps-xmm_xmm_xmm-TP,0.25
inc-r64-TP,0.3333333333333333
xor-r32_r32-TP,0.3333333333333333
vcvtsi2ss-xmm_xmm_r32-TP,1.0
vaddss-xmm_xmm_mem-TP,1.0
vmovupd-load-avx-TP,1.0
lea-r32_mem-TP,1.0
vmovss-xmm_mem-TP,0.5
vmovss-mem_xmm-TP,1.0
vmovupd-store-avx-TP,2.0
lea-r64_mem-TP,1.0
movslq-r64_mem-TP,0.5
mov-r64_mem-TP,0.5
vaddpd-ymm_ymm_ymm-TP,1.0
cmp-r32_r32-TP,0.3333333333333333
vmovsd-xmm_xmm_xmm-TP,1.0
vmulsd-xmm_xmm_mem-TP,1.0
vmovsd-mem_xmm-TP,1.0
vmovhpd-xmm_xmm_mem-TP,1.0
vsubpd-ymm_ymm_ymm-TP,1.0
vmovq-xmm_r64-TP,1.0
vunpckhpd-xmm_xmm_xmm-TP,1.0
vmulpd-ymm_ymm_mem-TP,1.0
mov-mem_r64-TP,1.0
movzbl-r32_r8-TP,0.29600000000000004
vmulsd-xmm_xmm_xmm-TP,1.0
vaddsd-xmm_xmm_mem-TP,1.0
vmovq-r64_xmm-TP,1.0
vmulpd-ymm_ymm_ymm-TP,1.0
mov-r32_mem-TP,0.5
cmp-r32_mem-TP,0.5
vaddpd-xmm_xmm_xmm-TP,1.0
mov-mem_r32-TP,1.0
vmovsd-xmm_mem-TP,0.5
vsubsd-xmm_xmm_xmm-TP,1.0
vmovaps-xmm_xmm-TP,0.845
vaddsd-xmm_xmm_xmm-TP,1.0
add-r32_mem-TP,0.5
vmovupd-xmm_mem-TP,0.5
test-r32_r32-TP,0.3333333333333333
add-r64_r64-TP,0.3333333333333333
dec-r32-TP,0.3333333333333333
movslq-r64_r32-TP,0.3333333333333333
vxorpd-ymm_ymm_ymm-TP,0.25
sub-r32_r32-TP,0.3333333333333333
inc-r32-TP,0.3333333333333333
neg-r32-TP,0.3333333333333333
cmp-r64_imd-TP,0.3333333333333333
vxorpd-xmm_xmm_xmm-TP,0.25
vmovapd-ymm_ymm-TP,0.856
vmovapd-xmm_xmm-TP,0.855
mov-r32_r32-TP,0.3333333333333333
